id;id_wlasciciela;id_opiekuna;typNieruchomosci;id_adresu;cenaCalkowita;cenaZaM2;rodzajRynku;rokBudowy;wysokoscProwizji
1;1;1;0;45;245000,00;6125,00;0;2018;2
2;2;2;0;46;330000,00;5500,00;0;2018;3
3;3;3;0;47;185000,00;5285,00;1;2005;2
4;4;4;0;48;520000,00;6753,00;1;2012;4
5;5;5;0;49;490000,00;7424,00;1;2016;4
6;6;6;0;50;210000,00;6363,00;0;2017;2
7;7;7;0;51;270000,00;6279,00;1;2011;2
8;8;8;0;52;350000,00;7291,00;0;2017;3
9;9;9;0;53;295000,00;5086,00;1;2014;2
10;10;10;0;54;190000,00;4042,00;1;1988;2
11;11;11;0;55;220000,00;4151,00;1;1991;2
12;12;12;0;56;425000,00;5986,00;1;2013;4
13;13;1;0;57;390000,00;6290,00;0;2018;3
14;14;2;0;58;244200,00;6600,00;0;2018;2
15;15;3;0;59;171600,00;4400,00;1;1982;2
16;16;4;1;60;316800,00;3200,00;0;2017;3
17;17;5;1;61;508200,00;4200,00;0;2016;4
18;18;6;1;62;510600,00;3700,00;1;2006;4
19;19;7;1;63;374500,00;3500,00;1;2002;4
20;20;8;1;64;628000,00;4000,00;1;2005;4
21;21;9;1;65;931000,00;4900,00;0;2018;4
22;22;10;1;66;548250,00;4250,00;1;2009;4
23;23;11;1;67;858000,00;3900,00;0;2017;4
24;24;12;1;68;748800,00;4600,00;0;2017;4
25;25;1;1;69;680600,00;4100,00;0;2016;4
26;26;2;1;70;869250,00;4750,00;0;2015;4
27;27;3;1;71;709500,00;3300,00;1;1999;4
28;28;4;1;72;311600,00;3800,00;1;2003;3
29;29;5;1;73;400400,00;4400,00;0;2016;4
31;1;7;1;75;467200,00;3200,00;1;2011;4
